compound,adipose_subcutaneous,adipose_visceral_omentum,adrenal_gland,artery_aorta,artery_coronary,artery_tibial,brain_amygdala,brain_anterior_cingulate_cortex_ba24,brain_caudate_basal_ganglia,brain_cerebellar_hemisphere,brain_cerebellum,brain_cortex,brain_frontal_cortex_ba9,brain_hippocampus,brain_hypothalamus,brain_nucleus_accumbens_basal_ganglia,brain_putamen_basal_ganglia,brain_spinal_cord_cervical_c-1,brain_substantia_nigra,breast_mammary_tissue,cells_cultured_fibroblasts,cells_ebv-transformed_lymphocytes,colon_sigmoid,colon_transverse,esophagus_gastroesophageal_junction,esophagus_mucosa,esophagus_muscularis,heart_atrial_appendage,heart_left_ventricle,kidney_cortex,liver,lung,minor_salivary_gland,muscle_skeletal,nerve_tibial,ovary,pancreas,pituitary,prostate,skin_not_sun_exposed_suprapubic,skin_sun_exposed_lower_leg,small_intestine_terminal_ileum,spleen,stomach,testis,thyroid,uterus,vagina,whole_blood
ncgc00238537-02,0.057713896,1.6420285,0.0,0.57205063,0.0,-0.5799582,0.9262429,0.0,0.0,0.6262085,0.0,0.0,0.6978299,0.0,0.032752547,0.0,-0.96523523,0.0,-0.62035626,0.0,0.030782703,0.0,1.6804295,0.8146348,0.0,-1.2367635,-0.46665767,0.66636693,1.4496497,0.0,0.0,-0.62906754,0.0,1.9141473,-2.6382482,0.0,-0.5058502,-0.81063163,0.8146348,-0.6880148,2.1902094,0.0,0.0,0.0,0.030207451,0.0,0.0,0.031659167,-1.1250229
ncgc00238548-02,-1.0808026,0.0,0.6735876,0.0,-0.70658344,0.48101145,0.0,0.5452199,0.78364354,0.0,-1.6589379,-0.07695794,0.5636156,0.0,-0.12431127,0.0,-0.8216271,-0.88707745,-0.7153444,0.48832372,-0.19452097,0.0,0.5253331,1.4928174,-0.46691576,0.024361847,0.0,0.0,0.0,0.8813253,0.39996418,0.0,0.68908167,0.64767295,-0.37431362,-0.19911121,0.0,-0.20715085,0.6755294,-1.31701,-0.9776756,0.0,-0.71788424,-0.20586084,0.4601184,-0.14114827,0.817288,0.8331311,-2.0149145
ncgc00238551-02,-0.6354592,-1.5494314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043272164,0.0,0.0,2.3276298,0.0,0.0,0.0,0.09311485,0.0,0.0,0.9623012,0.0,-0.6412797,-0.54111034,-0.8418918,0.5973368,-0.894378,0.0,0.0,0.0,-0.17086673,-0.724423,0.0,0.5757231,0.0,-0.88559145,0.0,0.6412797,1.0579933,0.0,0.6745308,0.6913423,0.57259053,0.0,-0.76802474,0.09160291
ncgc00241069-01,0.0,0.0,0.0,0.0,1.1591938,0.95154524,0.0,1.4537941,0.0,1.2920651,0.0,0.0,0.0,0.0,0.0,0.0,1.6490866,0.0,0.0,0.0,0.0,0.0,0.0,-1.261825,1.3606851,-0.93832195,0.0,0.0,1.2086185,0.0,0.0,0.0,0.0,0.054368533,0.0,1.3246944,0.0,0.0,0.0,0.0,-0.33328265,0.0,0.0,-1.3954866,2.4297686,0.0,1.4751778,1.497705,0.0
ncgc00241071-01,0.3322121,0.09289794,-0.20991541,0.74323416,-0.38272655,0.5394716,0.11437617,-0.41088328,0.016355837,0.16581687,0.0,0.10481254,-0.01721107,-0.03703978,0.10673844,-0.5687361,-0.005927809,0.93468624,-0.061849937,0.023757098,-1.093233,0.0,-0.29568014,-0.46086815,0.0,-2.3407824,-0.18464123,1.2049239,1.2461629,-3.2303076,0.06742503,0.02035124,0.10481254,-0.8525962,0.42497143,0.9697604,-1.2909204,-0.9173201,0.30288914,0.26359195,0.96722746,0.0,0.79864657,1.1115968,-0.6603194,0.60476476,0.0,1.3413333,0.09377763
ncgc00241077-01,1.7015473,0.0,-0.6828786,1.3239671,0.5267086,0.16246727,-0.75506955,-0.716931,-0.6388968,-0.8375751,-0.024976533,-0.3235524,-0.6216367,0.67824036,0.0029799896,-0.6930545,-1.9756565,-0.39524227,0.32219294,-0.0011894483,-0.33207822,0.0,0.119719446,-0.6253411,1.5095716,-0.1913104,0.41837338,1.6701728,2.6628544,-2.4494863,-0.013320569,-0.1364862,0.4262949,-1.0204514,-0.69577384,-0.024284871,0.013520359,0.7171365,0.1628944,0.1438831,-0.30518675,-0.29296255,0.47283804,1.9058672,0.2370072,0.6590179,0.16378525,-1.2688048,0.57543975
ncgc00241357-01,0.12591888,0.89174503,-0.66186565,-0.562546,-0.33115268,-0.26074502,0.7410681,-0.5454843,-0.81895894,-1.6717925,0.733571,0.95171463,-0.5763093,-1.126664,-0.54004014,-0.67669344,0.2124859,-0.2334223,1.3044723,0.7470439,-0.014574833,0.0,0.29854232,1.3191229,1.1489213,1.7629097,0.36233482,-0.46296743,0.70571756,0.18126695,-0.5738287,0.55202997,1.8247674,-0.7363315,-1.8136628,-0.30960453,0.38083372,0.1532337,-0.9404998,1.3999671,-0.8299734,0.0,-0.7436891,0.87367874,0.27713948,-0.6659265,0.6285985,0.31593257,0.0042383056
ncgc00241426-02,0.0,0.0,0.0,0.0,0.0,0.7414839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99729234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5822914,0.0,0.72578496,0.0,0.0,0.0,0.0,0.0,-0.96680677,0.79317355,0.96680677,-0.5818014,-0.620606,0.0,0.0,0.0,-0.87582743,0.0,0.6321091,0.0,0.0,0.0,0.0,0.0,0.0,0.8533835,0.0
ncgc00241435-01,0.09366888,0.48582038,0.040048186,0.16531259,1.419697,1.200237,0.5336061,-0.27047405,0.71874714,-1.4042358,1.032993,1.2391158,-0.9765449,-0.36057082,-0.5026983,0.0,1.6825004,0.10520687,-0.05839692,0.11044336,1.86288,0.0,1.0293282,0.8956892,0.90533125,-1.1289129,0.040591545,-1.271078,0.3853587,-1.0733843,0.6885773,-0.39320326,-1.0447334,-0.36675143,0.0129034845,-0.47965053,1.877731,-1.2135135,0.27451253,-2.0300758,0.76463556,0.70144075,0.36604246,0.0,-0.24755418,0.36243534,0.503653,-0.4920645,0.72415864
ncgc00241726-01,1.5421,0.58778596,-1.0622414,0.18657342,-0.41578168,0.16128628,-0.38255182,0.26279435,0.0052362545,-0.47879496,0.32399637,-0.30622825,0.20829786,-0.31237823,-0.8921066,0.0,-1.0783417,0.3627973,-0.17883143,-0.51915455,0.99383885,0.0,0.16624539,0.26350883,0.5982859,-0.57026714,-0.34962913,0.8997728,0.05718534,0.29069105,-0.6196564,-0.18359086,0.8285876,-0.54006034,0.22296682,-0.27762935,-0.24456075,1.5646188,-0.97367394,3.0055144,0.626513,0.3627973,-1.6170658,-0.8062675,-0.4810577,0.38345385,1.2177899,-0.63527673,0.4209455
